study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,Float,Emotional N-Back,Destrieux,tfabwdp_683,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere long insular gyrus and central sulcus of the insula,,,60016
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.insular.short.lh,Float,Emotional N-Back,Destrieux,tfabwdp_610,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere short insular gyri,,,60017
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.insular.short.rh,Float,Emotional N-Back,Destrieux,tfabwdp_684,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere short insular gyri,,,60018
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.occipital.middle.lh,Float,Emotional N-Back,Destrieux,tfabwdp_611,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere middle occipital gyrus,,,60019
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.occipital.middle.rh,Float,Emotional N-Back,Destrieux,tfabwdp_685,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere middle occipital gyrus,,,60020
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.occipital.sup.lh,Float,Emotional N-Back,Destrieux,tfabwdp_612,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere superior occipital gyrus,,,60021
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.occipital.sup.rh,Float,Emotional N-Back,Destrieux,tfabwdp_686,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere superior occipital gyrus,,,60022
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.oc.temp.lat.fusifor.lh,Float,Emotional N-Back,Destrieux,tfabwdp_613,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere lateral occipito-temporal gyrus,,,60023
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.oc.temp.lat.fusifor.rh,Float,Emotional N-Back,Destrieux,tfabwdp_687,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere lateral occipito-temporal gyrus,,,60024
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.oc.temp.med.lingual.lh,Float,Emotional N-Back,Destrieux,tfabwdp_614,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere lingual gyrus,,,60025
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.oc.temp.med.lingual.rh,Float,Emotional N-Back,Destrieux,tfabwdp_688,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere lingual gyrus,,,60026
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.oc.temp.med.parahip.lh,Float,Emotional N-Back,Destrieux,tfabwdp_615,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere parahippocampal gyrus,,,60027
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.oc.temp.med.parahip.rh,Float,Emotional N-Back,Destrieux,tfabwdp_689,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere parahippocampal gyrus,,,60028
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.orbital.lh,Float,Emotional N-Back,Destrieux,tfabwdp_616,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere orbital gyri,,,60029
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.orbital.rh,Float,Emotional N-Back,Destrieux,tfabwdp_690,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere orbital gyri,,,60030
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.parietal.sup.lh,Float,Emotional N-Back,Destrieux,tfabwdp_619,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere superior parietal lobule,,,60031
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.parietal.sup.rh,Float,Emotional N-Back,Destrieux,tfabwdp_693,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere superior parietal lobule,,,60032
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.pariet.inf.angular.lh,Float,Emotional N-Back,Destrieux,tfabwdp_617,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere angular gyrus,,,60033
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.pariet.inf.angular.rh,Float,Emotional N-Back,Destrieux,tfabwdp_691,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere angular gyrus,,,60034
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.pariet.inf.supramar.lh,Float,Emotional N-Back,Destrieux,tfabwdp_618,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere supramarginal gyrus,,,60035
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.pariet.inf.supramar.rh,Float,Emotional N-Back,Destrieux,tfabwdp_692,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere supramarginal gyrus,,,60036
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.postcentral.lh,Float,Emotional N-Back,Destrieux,tfabwdp_620,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere postcentral gyrus,,,60037
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.postcentral.rh,Float,Emotional N-Back,Destrieux,tfabwdp_694,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere postcentral gyrus,,,60038
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.precentral.lh,Float,Emotional N-Back,Destrieux,tfabwdp_621,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere precentral gyrus,,,60039
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.precentral.rh,Float,Emotional N-Back,Destrieux,tfabwdp_695,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere precentral gyrus,,,60040
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.precuneus.lh,Float,Emotional N-Back,Destrieux,tfabwdp_622,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere precuneus,,,60041
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.precuneus.rh,Float,Emotional N-Back,Destrieux,tfabwdp_696,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere precuneus,,,60042
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.rectus.lh,Float,Emotional N-Back,Destrieux,tfabwdp_623,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere gyrus rectus,,,60043
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.rectus.rh,Float,Emotional N-Back,Destrieux,tfabwdp_697,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere gyrus rectus,,,60044
