study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_parahippocampal.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_591,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-parahippocampal,,,59950
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_parsopercularis.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_559,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-parsopercularis,,,59951
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_parsopercularis.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_593,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-parsopercularis,,,59952
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_parsorbitalis.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_560,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-parsorbitalis,,,59953
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_parsorbitalis.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_594,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-parsorbitalis,,,59954
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_parstriangularis.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_561,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-parstriangularis,,,59955
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_parstriangularis.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_595,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-parstriangularis,,,59956
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_pericalcarine.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_562,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-pericalcarine,,,59957
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_pericalcarine.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_596,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-pericalcarine,,,59958
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_postcentral.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_563,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-postcentral,,,59959
