sub_id,mat_path,schaefer400,schaefer200,mean_fd
sub-NDARINV34HCN2RW_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV34HCN2RW_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-340.106108391623,-179.250908797794,0.4419343357
sub-NDARINV35V4K19A_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV35V4K19A_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-341.761546110838,-179.287860184042,0.3575244995
sub-NDARINV3E0WVH3G_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3E0WVH3G_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-365.35674616619,-193.089690589486,0.7999006092
sub-NDARINV3EX0WR8L_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3EX0WR8L_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-352.924572550601,-178.034928499606,0.4747563508
sub-NDARINV3G3BC6PP_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3G3BC6PP_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-342.922295159383,-182.162808219495,0.6384088669
sub-NDARINV3G92P847_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3G92P847_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-323.759135910544,-167.466051690426,0.3775196955
sub-NDARINV3PKNX1E3_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3PKNX1E3_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-344.628124028543,-181.002568529018,0.715107949
sub-NDARINV3RDMV5NE_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3RDMV5NE_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-334.644757733228,-173.101596950122,0.4603781591
sub-NDARINV3TG667EC_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3TG667EC_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-332.782830440699,-174.507090429392,0.3337316052
sub-NDARINV3U3CWTNF_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3U3CWTNF_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-351.938099864961,-184.354989690157,0.3432802529
